0   0
26.5    0.1
37.8    0.2
52.4    0.4
71.9    0.7
99.3    1
136 1.2
176 1.3
279 1.4
659 1.5
1084    1.55
1718    1.6
2577    1.65
3670    1.7
6373    1.8
10529   1.9
20555   2
58076   2.1
